Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Quartile,2023 JCI,% of OA Gold;
aBIOTECH,ABIOTECH,SPRINGERNATURE,2096-6326,2662-1738,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,ESCI,379,4.6,Q1,0.63,65.48%,;
"Academy of Management Annals,ACAD MANAG ANN,ACAD MANAGEMENT,1941-6520,1941-6067,BUSINESS,SSCI,""9,198"",14.3,Q1,3.29,0%,";
"Academy of Management Annals,ACAD MANAG ANN,ACAD MANAGEMENT,1941-6520,1941-6067,MANAGEMENT,SSCI,""9,198"",14.3,Q1,3.29,0%,";
"ACADEMY OF MANAGEMENT REVIEW,ACAD MANAGE REV,ACAD MANAGEMENT,0363-7425,1930-3807,BUSINESS,SSCI,""40,929"",19.3,Q1,3.43,0%,";
"ACADEMY OF MANAGEMENT REVIEW,ACAD MANAGE REV,ACAD MANAGEMENT,0363-7425,1930-3807,MANAGEMENT,SSCI,""40,929"",19.3,Q1,3.43,0%,";
"ACCOUNTS OF CHEMICAL RESEARCH,ACCOUNTS CHEM RES,AMER CHEMICAL SOC,0001-4842,1520-4898,""CHEMISTRY, MULTIDISCIPLINARY"",SCIE,""82,104"",16.4,Q1,1.37,12.32%,";
"Accounts of Materials Research,ACCOUNTS MATER RES,AMER CHEMICAL SOC,,2643-6728,""CHEMISTRY, MULTIDISCIPLINARY"",ESCI,""3,420"",14.0,Q1,2.48,5.23%,";
"Accounts of Materials Research,ACCOUNTS MATER RES,AMER CHEMICAL SOC,,2643-6728,""MATERIALS SCIENCE, MULTIDISCIPLINARY"",ESCI,""3,420"",14.0,Q1,2.48,5.23%,";
"ACI MATERIALS JOURNAL,ACI MATER J,AMER CONCRETE INST,0889-325X,1944-737X,""MATERIALS SCIENCE, MULTIDISCIPLINARY"",SCIE,""7,213"",1.9,Q3,0.31,0%,";
"ACI STRUCTURAL JOURNAL,ACI STRUCT J,AMER CONCRETE INST,0889-3241,1944-7361,""MATERIALS SCIENCE, MULTIDISCIPLINARY"",SCIE,""8,086"",1.3,Q4,0.3,0%,";
"ACM COMPUTING SURVEYS,ACM COMPUT SURV,ASSOC COMPUTING MACHINERY,0360-0300,1557-7341,""COMPUTER SCIENCE, THEORY & METHODS"",SCIE,""23,965"",23.8,Q1,5.05,3%,";
