Nature Reviews Materials,NAT REV MATER,NATURE PORTFOLIO,2058-8437,2058-8437.1,NANOSCIENCE & NANOTECHNOLOGY,SCIE,"35,616",79.8,Q1,4.35,1.99%,Unnamed: 12
ACM Journal on Emerging Technologies in Computing Systems,ACM J EMERG TECH COM,ASSOC COMPUTING MACHINERY,1550-4832,1550-4840,NANOSCIENCE & NANOTECHNOLOGY,SCIE,979,2.1,Q3,0.43,0.61%,
ACS Applied Bio Materials,ACS APPL BIO MATER,AMER CHEMICAL SOC,2576-6422,2576-6422,NANOSCIENCE & NANOTECHNOLOGY,ESCI,"13,933",4.6,Q2,0.64,7.29%,
ACS Applied Materials & Interfaces,ACS APPL MATER INTER,AMER CHEMICAL SOC,1944-8244,1944-8252,NANOSCIENCE & NANOTECHNOLOGY,SCIE,"364,612",8.3,Q1,1.4,6.13%,
ACS Applied Nano Materials,ACS APPL NANO MATER,AMER CHEMICAL SOC,,2574-0970,NANOSCIENCE & NANOTECHNOLOGY,SCIE,"36,563",5.3,Q2,0.85,6.01%,
ACS Energy Letters,ACS ENERGY LETT,AMER CHEMICAL SOC,2380-8195,2380-8195,NANOSCIENCE & NANOTECHNOLOGY,SCIE,"55,559",19.3,Q1,2.82,11.57%,
ACS Nano,ACS NANO,AMER CHEMICAL SOC,1936-0851,1936-086X,NANOSCIENCE & NANOTECHNOLOGY,SCIE,"227,757",15.8,Q1,2.42,10.55%,
ACS Nanoscience Au,ACS NANOSCI AU,AMER CHEMICAL SOC,,2694-2496,NANOSCIENCE & NANOTECHNOLOGY,ESCI,319,4.8,Q2,0.38,78.79%,
ACS Photonics,ACS PHOTONICS,AMER CHEMICAL SOC,2330-4022,,NANOSCIENCE & NANOTECHNOLOGY,SCIE,"22,372",6.5,Q2,1.36,17.96%,
ACS Sensors,ACS SENSORS,AMER CHEMICAL SOC,2379-3694,2379-3694,NANOSCIENCE & NANOTECHNOLOGY,SCIE,"20,803",8.2,Q1,1.44,10.59%,
ADVANCED FUNCTIONAL MATERIALS,ADV FUNCT MATER,WILEY-V C H VERLAG GMBH,1616-301X,1616-3028,NANOSCIENCE & NANOTECHNOLOGY,SCIE,"250,260",18.5,Q1,2.74,13.91%,
ADVANCED MATERIALS,ADV MATER,WILEY-V C H VERLAG GMBH,0935-9648,1521-4095,NANOSCIENCE & NANOTECHNOLOGY,SCIE,"392,263",27.4,Q1,4.09,18.14%,
AIP Advances,AIP ADV,AIP Publishing,,2158-3226,NANOSCIENCE & NANOTECHNOLOGY,SCIE,"19,581",1.4,Q4,0.26,91.51%,
APL Materials,APL MATER,AIP Publishing,2166-532X,2166-532X,NANOSCIENCE & NANOTECHNOLOGY,SCIE,"10,414",5.3,Q2,1.03,92.31%,
Advanced Composites and Hybrid Materials,ADV COMPOS HYBRID MA,SPRINGERNATURE,2522-0128,2522-0136,NANOSCIENCE & NANOTECHNOLOGY,SCIE,"11,325",23.2,Q1,3.23,4.01%,
Advanced Electronic Materials,ADV ELECTRON MATER,WILEY,2199-160X,2199-160X,NANOSCIENCE & NANOTECHNOLOGY,SCIE,"15,877",5.3,Q2,0.9,47.14%,
Advanced Healthcare Materials,ADV HEALTHC MATER,WILEY,2192-2640,2192-2659,NANOSCIENCE & NANOTECHNOLOGY,SCIE,"33,225",10.0,Q1,1.34,20.03%,
Advanced NanoBiomed Research,ADV NANOBIOMED RES,WILEY-V C H VERLAG GMBH,2699-9307,2699-9307,NANOSCIENCE & NANOTECHNOLOGY,ESCI,922,4.0,Q2,0.47,79.6%,
Advanced Science,ADV SCI,WILEY,,2198-3844,NANOSCIENCE & NANOTECHNOLOGY,SCIE,"79,296",14.3,Q1,2.07,75.32%,
Advances in Nano Research,ADV NANO RES,TECHNO-PRESS,2287-237X,2287-2388,NANOSCIENCE & NANOTECHNOLOGY,SCIE,"1,670",4.3,Q2,0.79,0%,
Advances in Natural Sciences-Nanoscience and Nanotechnology,ADV NAT SCI-NANOSCI,IOP Publishing Ltd,2043-6254,2043-6262,NANOSCIENCE & NANOTECHNOLOGY,ESCI,"2,484",1.7,Q4,0.31,0%,
Analysis & Sensing,ANAL SENS,WILEY-V C H VERLAG GMBH,2629-2742,2629-2742,NANOSCIENCE & NANOTECHNOLOGY,ESCI,235,3.4,Q3,0.36,24.19%,
BIOMEDICAL MICRODEVICES,BIOMED MICRODEVICES,SPRINGER,1387-2176,1572-8781,NANOSCIENCE & NANOTECHNOLOGY,SCIE,"3,627",3.0,Q3,0.53,16.3%,
BIOSENSORS & BIOELECTRONICS,BIOSENS BIOELECTRON,ELSEVIER ADVANCED TECHNOLOGY,0956-5663,1873-4235,NANOSCIENCE & NANOTECHNOLOGY,SCIE,"74,792",10.7,Q1,2.37,13.95%,
