CEMENT AND CONCRETE RESEARCH,CEMENT CONCRETE RES,PERGAMON-ELSEVIER SCIENCE LTD,0008-8846,1873-3948,CONSTRUCTION & BUILDING TECHNOLOGY,SCIE,"67,048",10.9,Q1,2.03,34.3%,Unnamed: 12
ACI MATERIALS JOURNAL,ACI MATER J,AMER CONCRETE INST,0889-325X,1944-737X,CONSTRUCTION & BUILDING TECHNOLOGY,SCIE,"7,213",1.9,Q3,0.31,0%,
ACI STRUCTURAL JOURNAL,ACI STRUCT J,AMER CONCRETE INST,0889-3241,1944-7361,CONSTRUCTION & BUILDING TECHNOLOGY,SCIE,"8,086",1.3,Q3,0.3,0%,
ADVANCES IN CEMENT RESEARCH,ADV CEM RES,EMERALD GROUP PUBLISHING LTD,0951-7197,1751-7605,CONSTRUCTION & BUILDING TECHNOLOGY,SCIE,"1,858",1.4,Q3,0.34,1.75%,
ADVANCES IN STRUCTURAL ENGINEERING,ADV STRUCT ENG,SAGE PUBLICATIONS INC,1369-4332,2048-4011,CONSTRUCTION & BUILDING TECHNOLOGY,SCIE,"5,236",2.1,Q2,0.45,2.59%,
AUTOMATION IN CONSTRUCTION,AUTOMAT CONSTR,ELSEVIER,0926-5805,1872-7891,CONSTRUCTION & BUILDING TECHNOLOGY,SCIE,"31,904",9.6,Q1,1.85,18.25%,
Advanced Steel Construction,ADV STEEL CONSTR,HONG KONG INST STEEL CONSTRUCTION,1816-112X,,CONSTRUCTION & BUILDING TECHNOLOGY,SCIE,558,1.7,Q3,0.38,0%,
Advances in Building Energy Research,ADV BUILD ENERGY RES,TAYLOR & FRANCIS LTD,1751-2549,1756-2201,CONSTRUCTION & BUILDING TECHNOLOGY,ESCI,568,2.1,Q2,0.38,14.86%,
Advances in Civil Engineering,ADV CIV ENG,HINDAWI LTD,1687-8086,1687-8094,CONSTRUCTION & BUILDING TECHNOLOGY,SCIE,"8,587",1.5,Q3,0.32,99.33%,
Advances in Concrete Construction,ADV CONCR CONSTR,TECHNO-PRESS,2287-5301,2287-531X,CONSTRUCTION & BUILDING TECHNOLOGY,SCIE,"1,151",2.2,Q2,0.44,0%,
