AUTOMATION IN CONSTRUCTION,AUTOMAT CONSTR,ELSEVIER,0926-5805,1872-7891,"ENGINEERING, CIVIL",SCIE,"31,904",9.6,Q1,1.85,18.25%,Unnamed: 12
ACI STRUCTURAL JOURNAL,ACI STRUCT J,AMER CONCRETE INST,0889-3241,1944-7361,"ENGINEERING, CIVIL",SCIE,"8,086",1.3,Q3,0.3,0%,
ADVANCES IN STRUCTURAL ENGINEERING,ADV STRUCT ENG,SAGE PUBLICATIONS INC,1369-4332,2048-4011,"ENGINEERING, CIVIL",SCIE,"5,236",2.1,Q2,0.45,2.59%,
AQUA-Water Infrastructure Ecosystems and Society,AQUA-UK,IWA PUBLISHING,2709-8028,2709-8036,"ENGINEERING, CIVIL",SCIE,483,2.1,Q2,0.46,96.57%,
ASCE-ASME Journal of Risk and Uncertainty in Engineering Systems Part A-Civil Engineering,ASCE-ASME J RISK U A,ASCE-AMER SOC CIVIL ENGINEERS,2376-7642,2376-7642,"ENGINEERING, CIVIL",SCIE,"1,065",2.3,Q2,0.56,3%,
Advanced Steel Construction,ADV STEEL CONSTR,HONG KONG INST STEEL CONSTRUCTION,1816-112X,,"ENGINEERING, CIVIL",SCIE,558,1.7,Q3,0.38,0%,
Advances in Civil Engineering,ADV CIV ENG,HINDAWI LTD,1687-8086,1687-8094,"ENGINEERING, CIVIL",SCIE,"8,587",1.5,Q3,0.32,99.33%,
Advances in Civil and Architectural Engineering,ADV CIV ARCHIT ENG,"Josip Juraj Strossmayer Univ Osijek, Fac Civil Engn & Architecture Osijek",2975-3848,2975-3848,"ENGINEERING, CIVIL",ESCI,14,0.8,Q4,0.13,100%,
Advances in Concrete Construction,ADV CONCR CONSTR,TECHNO-PRESS,2287-5301,2287-531X,"ENGINEERING, CIVIL",SCIE,"1,151",2.2,Q2,0.44,0%,
Architectural Engineering and Design Management,ARCHIT ENG DES MANAG,TAYLOR & FRANCIS LTD,1745-2007,1752-7589,"ENGINEERING, CIVIL",SCIE,"1,144",2.7,Q2,0.53,8.97%,
Architecture Civil Engineering Environment,ARCHIT CIV ENG ENVIR,SILESIAN UNIV TECHNOLOGY,1899-0142,2720-6947,"ENGINEERING, CIVIL",ESCI,228,0.5,Q4,0.11,83.92%,
Archives of Civil Engineering,ARCH CIV ENG,POLISH ACAD SCIENCES,1230-2945,2300-3103,"ENGINEERING, CIVIL",ESCI,825,1.1,Q3,0.2,63.94%,
Archives of Civil and Mechanical Engineering,ARCH CIV MECH ENG,SPRINGERNATURE,1644-9665,2083-3318,"ENGINEERING, CIVIL",SCIE,"5,317",4.4,Q1,1.0,22.62%,
Australian Journal of Civil Engineering,AUST J CIV ENG,TAYLOR & FRANCIS LTD,1448-8353,2204-2245,"ENGINEERING, CIVIL",ESCI,347,1.6,Q3,0.32,1.28%,
Australian Journal of Structural Engineering,AUST J STRUCT ENG,TAYLOR & FRANCIS AS,1328-7982,2204-2261,"ENGINEERING, CIVIL",ESCI,444,0.9,Q4,0.22,8.7%,
BUILDING AND ENVIRONMENT,BUILD ENVIRON,PERGAMON-ELSEVIER SCIENCE LTD,0360-1323,1873-684X,"ENGINEERING, CIVIL",SCIE,"55,605",7.1,Q1,1.24,20.18%,
