Applied Catalysis B-Environment and Energy,APPL CATAL B-ENVIRON,ELSEVIER,0926-3373,1873-3883,"ENGINEERING, ENVIRONMENTAL",SCIE,"162,514",20.2,Q1,2.99,9.57%,Unnamed: 12
ACS ES&T Engineering,ACS EST ENG,AMER CHEMICAL SOC,,2690-0645,"ENGINEERING, ENVIRONMENTAL",ESCI,"2,981",7.4,Q1,0.72,5.33%,
ACS Environmental Au,ACS ENVIRON AU,AMER CHEMICAL SOC,,2694-2518,"ENGINEERING, ENVIRONMENTAL",ESCI,404,6.7,Q1,0.68,68.6%,
AMBIO,AMBIO,SPRINGER,0044-7447,1654-7209,"ENGINEERING, ENVIRONMENTAL",SCIE,"12,238",5.8,Q2,0.81,68.02%,
Advances in Environmental Research-An International Journal,AD ENVIRON RES,TECHNO-PRESS,2234-1722,2234-1730,"ENGINEERING, ENVIRONMENTAL",ESCI,701,1.1,Q4,0.05,0%,
BUILDING AND ENVIRONMENT,BUILD ENVIRON,PERGAMON-ELSEVIER SCIENCE LTD,0360-1323,1873-684X,"ENGINEERING, ENVIRONMENTAL",SCIE,"55,605",7.1,Q1,1.24,20.18%,
Bulletin of Engineering Geology and the Environment,B ENG GEOL ENVIRON,SPRINGER HEIDELBERG,1435-9529,1435-9537,"ENGINEERING, ENVIRONMENTAL",SCIE,"12,080",3.7,Q3,0.86,5%,
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use ,,,,,,,,,,,,
COLD REGIONS SCIENCE AND TECHNOLOGY,COLD REG SCI TECHNOL,ELSEVIER,0165-232X,1872-7441,"ENGINEERING, ENVIRONMENTAL",SCIE,"9,968",3.8,Q2,0.76,18.31%,
Carbon Capture Science & Technology,CARBON CAPTURE SCI T,ELSEVIER,2772-6568,2772-6568,"ENGINEERING, ENVIRONMENTAL",ESCI,878,10.4,Q1,1.17,93.66%,
Chemical Engineering Journal,CHEM ENG J,ELSEVIER SCIENCE SA,1385-8947,1873-3212,"ENGINEERING, ENVIRONMENTAL",SCIE,"379,191",13.3,Q1,1.88,6.96%,
Chemical Engineering Journal Advances,CHEM ENG J ADV,ELSEVIER,2666-8211,2666-8211,"ENGINEERING, ENVIRONMENTAL",ESCI,"2,574",5.5,Q2,0.63,98.78%,
Clean Energy,CLEAN ENERGY-CHINA,OXFORD UNIV PRESS,2515-4230,2515-396X,"ENGINEERING, ENVIRONMENTAL",ESCI,820,2.9,Q3,0.35,96.02%,
Clean Technologies,CLEAN TECHNOL-BASEL,MDPI,,2571-8797,"ENGINEERING, ENVIRONMENTAL",ESCI,766,4.0,Q2,0.49,98.97%,
Clean Technologies and Environmental Policy,CLEAN TECHNOL ENVIR,SPRINGER,1618-954X,1618-9558,"ENGINEERING, ENVIRONMENTAL",SCIE,"6,836",4.2,Q2,0.59,13.76%,
Cleaner Engineering and Technology,CLEAN ENG TECHNOL,ELSEVIER,2666-7908,2666-7908,"ENGINEERING, ENVIRONMENTAL",ESCI,"3,442",5.3,Q2,0.7,96.97%,
Cleaner Environmental Systems,CLEAN ENVIRON SYST,ELSEVIER,2666-7894,2666-7894,"ENGINEERING, ENVIRONMENTAL",ESCI,639,6.1,Q2,0.92,93.55%,
Copyright (c) 2024 Clarivate ,,,,,,,,,,,,
