Nature Reviews Earth & Environment,NAT REV EARTH ENV,SPRINGERNATURE,N/A,2662-138X,"GEOSCIENCES, MULTIDISCIPLINARY",SCIE,"8,321",49.7,Q1,5.01,0.64%,Unnamed: 12
AAPG BULLETIN,AAPG BULL,AMER ASSOC PETROLEUM GEOLOGIST,0149-1423,1558-9153,"GEOSCIENCES, MULTIDISCIPLINARY",SCIE,"14,916",2.7,Q2,0.84,0%,
ACTA CARSOLOGICA,ACTA CARSOLOGICA,KARST RESEARCH INST ZRC SAZU,0583-6050,1580-2612,"GEOSCIENCES, MULTIDISCIPLINARY",SCIE,520,1.0,Q4,0.2,95.56%,
ACTA GEOLOGICA SINICA-ENGLISH EDITION,ACTA GEOL SIN-ENGL,WILEY,1000-9515,1755-6724,"GEOSCIENCES, MULTIDISCIPLINARY",SCIE,"6,980",3.5,Q1,0.44,3.38%,
ADVANCES IN SPACE RESEARCH,ADV SPACE RES,ELSEVIER SCI LTD,0273-1177,1879-1948,"GEOSCIENCES, MULTIDISCIPLINARY",SCIE,"17,778",2.8,Q2,0.76,25.83%,
AGU Advances,AGU ADV,AMER GEOPHYSICAL UNION,,2576-604X,"GEOSCIENCES, MULTIDISCIPLINARY",SCIE,895,8.3,Q1,1.88,79.66%,
AIMS Geosciences,AIMS GEOSCI,AMER INST MATHEMATICAL SCIENCES-AIMS,2471-2132,2471-2132,"GEOSCIENCES, MULTIDISCIPLINARY",ESCI,233,0.9,Q4,0.28,98.36%,
AMERICAN JOURNAL OF SCIENCE,AM J SCI,AMER JOURNAL SCIENCE,0002-9599,1945-452X,"GEOSCIENCES, MULTIDISCIPLINARY",SCIE,"7,833",1.9,Q3,0.66,12.66%,
ANNALES GEOPHYSICAE,ANN GEOPHYS-GERMANY,COPERNICUS GESELLSCHAFT MBH,0992-7689,1432-0576,"GEOSCIENCES, MULTIDISCIPLINARY",SCIE,"5,428",1.7,Q3,0.39,98.67%,
ANNALS OF GLACIOLOGY,ANN GLACIOL,CAMBRIDGE UNIV PRESS,0260-3055,1727-5644,"GEOSCIENCES, MULTIDISCIPLINARY",SCIE,"3,915",2.5,Q2,0.77,100%,
ANTARCTIC SCIENCE,ANTARCT SCI,CAMBRIDGE UNIV PRESS,0954-1020,1365-2079,"GEOSCIENCES, MULTIDISCIPLINARY",SCIE,"2,162",1.8,Q3,0.4,42.02%,
ARCHAEOMETRY,ARCHAEOMETRY,WILEY,0003-813X,1475-4754,"GEOSCIENCES, MULTIDISCIPLINARY",SCIE,"3,565",1.5,Q3,0.68,33.59%,
ASTROBIOLOGY,ASTROBIOLOGY,"MARY ANN LIEBERT, INC",1531-1074,1557-8070,"GEOSCIENCES, MULTIDISCIPLINARY",SCIE,"4,991",3.5,Q1,0.89,28.28%,
AUSTRALIAN JOURNAL OF EARTH SCIENCES,AUST J EARTH SCI,TAYLOR & FRANCIS LTD,0812-0099,1440-0952,"GEOSCIENCES, MULTIDISCIPLINARY",SCIE,"2,503",1.2,Q3,0.31,24.84%,
Acta Montanistica Slovaca,ACTA MONTAN SLOVACA,BERG FAC TECHNICAL UNIV KOSICE,1335-1788,,"GEOSCIENCES, MULTIDISCIPLINARY",SCIE,809,2.2,Q2,0.65,71.92%,
