Nature Machine Intelligence,NAT MACH INTELL,NATURE PORTFOLIO,N/A,2522-5839,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",SCIE,"9,760",18.8,Q1,3.62,20.52%,Unnamed: 12
ACCESS-Access to science business innovation in the digital economy,ACCESS-ACCESS SCI BU,Access Press Publishing House,,2683-1007,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",ESCI,77,0.8,Q4,0.23,96.05%,
ACM Journal on Computing and Cultural Heritage,ACM J COMPUT CULT HE,ASSOC COMPUTING MACHINERY,1556-4673,1556-4711,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",SCIE,946,2.1,Q3,3.07,4.98%,
ACM SIGecom Exchanges,ACM SIGECOM EXCH,ASSOC COMPUTING MACHINERY,1551-9031,1551-9031,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",ESCI,107,0.6,Q4,0.13,0%,
ACM Transactions on Accessible Computing,ACM T ACCESS COMPUT,ASSOC COMPUTING MACHINERY,1936-7228,1936-7236,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",ESCI,599,2.5,Q3,0.52,4.94%,
ACM Transactions on Cyber-Physical Systems,ACM TRANS CYBER-PHYS,ASSOC COMPUTING MACHINERY,2378-962X,2378-9638,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",ESCI,528,2,Q3,0.47,3.85%,
ACM Transactions on Economics and Computation,ACM T ECON COMPUT,ASSOC COMPUTING MACHINERY,2167-8375,2167-8383,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",ESCI,279,1.1,Q4,0.21,2.08%,
ACM Transactions on Modeling and Computer Simulation,ACM T MODEL COMPUT S,ASSOC COMPUTING MACHINERY,1049-3301,1558-1195,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",SCIE,642,0.7,Q4,0.39,1.49%,
ADVANCES IN ENGINEERING SOFTWARE,ADV ENG SOFTW,ELSEVIER SCI LTD,0965-9978,1873-5339,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",SCIE,"11,210",4,Q2,1.18,13.76%,
AI,AI-BASEL,MDPI,,2673-2688,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",ESCI,510,3.1,Q2,0.6,99.34%,
AI EDAM-ARTIFICIAL INTELLIGENCE FOR ENGINEERING DESIGN ANALYSIS AND MANUFACTURING,AI EDAM,CAMBRIDGE UNIV PRESS,0890-0604,1469-1760,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",SCIE,786,1.7,Q3,0.37,31.4%,
APPLICABLE ALGEBRA IN ENGINEERING COMMUNICATION AND COMPUTING,APPL ALGEBR ENG COMM,SPRINGER,0938-1279,1432-0622,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",SCIE,555,0.6,Q4,0.19,14.37%,
