GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS,GLOBAL ENVIRON CHANG,ELSEVIER SCI LTD,0959-3780,1872-9495,GEOGRAPHY,SSCI,"24,192",8.6,Q1,2.37,56.97%,Unnamed: 12
ANNALS OF REGIONAL SCIENCE,ANN REGIONAL SCI,SPRINGER,0570-1864,1432-0592,GEOGRAPHY,SSCI,"2,606",2.2,Q2,0.55,33.81%,
ANTIPODE,ANTIPODE,WILEY,0066-4812,1467-8330,GEOGRAPHY,SSCI,"6,437",3.6,Q1,1.6,39.86%,
APPLIED GEOGRAPHY,APPL GEOGR,ELSEVIER SCI LTD,0143-6228,1873-7730,GEOGRAPHY,SSCI,"10,535",4,Q1,1.7,23.9%,
AREA,AREA,WILEY,0004-0894,1475-4762,GEOGRAPHY,SSCI,"3,030",1.6,Q2,0.75,54.11%,
AUC Geographica,AUC GEOGR,"CHARLES UNIV PRAGUE, KAROLINUM PRESS",0300-5402,2336-1980,GEOGRAPHY,ESCI,119,0.5,Q3,0.2,100%,
AUSTRALIAN GEOGRAPHER,AUST GEOGR,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",0004-9182,1465-3311,GEOGRAPHY,SSCI,896,1.8,Q2,0.82,35.23%,
African Geographical Review,AFR GEOGR REV,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1937-6812,2163-2642,GEOGRAPHY,ESCI,399,0.9,Q3,0.45,3.28%,
Anales de Geografia de la Universidad Complutense,AN GEOGR UNIV COMPLU,"UNIV COMPLUTENSE MADRID, SERVICIO PUBLICACIONES",0211-9803,1988-2378,GEOGRAPHY,ESCI,158,0.4,Q4,0.13,97.1%,
Annals of GIS,ANN GIS,TAYLOR & FRANCIS LTD,1947-5683,1947-5691,GEOGRAPHY,ESCI,834,2.7,Q1,1.03,100%,
Annals of the American Association of Geographers,ANN AM ASSOC GEOGR,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",2469-4452,2469-4460,GEOGRAPHY,SSCI,"3,807",3.2,Q1,1.29,30.51%,
Applied Spatial Analysis and Policy,APPL SPAT ANAL POLIC,SPRINGER,1874-463X,1874-4621,GEOGRAPHY,SSCI,803,2,Q2,0.53,33.52%,
Asia Pacific Viewpoint,ASIA PAC VIEWP,WILEY,1360-7456,1467-8373,GEOGRAPHY,SSCI,863,1.8,Q2,1.51,28.41%,
Asian Geographer,ASIAN GEOGR,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1022-5706,2158-1762,GEOGRAPHY,ESCI,208,1.8,Q2,0.7,16%,
Atelie Geografico,ATELIE GEOGR,"UNIV FED GOIAS, INST ESTUDOS SOCIO-AMBIENTAIS",1982-1956,1982-1956,GEOGRAPHY,ESCI,50,0.2,Q4,0.05,19.38%,
Biblio 3W-Barcelona,BIBLIO 3W-BARC,"UNIV BARCELONA, SERVEI PUBLICACIONS",1138-9796,1138-9796,GEOGRAPHY,ESCI,12,0.1,Q4,0.01,4.76%,
Boletin Geografico,BOL GEOGR-ARGENTINA,"UNIV NAC COMAHUE, DEPT GEOGRAFIA",0326-1735,2313-903X,GEOGRAPHY,ESCI,14,0.1,Q4,0.06,0%,
Boletin Goiano de Geografia,BOL GOIANO GEOGR,"UNIV FEDERAL GOIAS, INST ESTUDOS SOCIO-AMBIENTAIS",0101-708X,1984-8501,GEOGRAPHY,ESCI,48,<0.1,Q4,0.01,66.67%,
Boletin de la Asociacion de Geografos Espanoles,B ASOC GEOGR ESP,ASOCIACION ESPANOLES DE GEOGRAFIA,0212-9426,2605-3322,GEOGRAPHY,SSCI,722,1.2,Q3,0.29,100%,
Bulletin of Geography-Socio-Economic Series,B GEOGR-SOCIO-ECO,NICOLAUS COPERNICUS UNIV TORUN,1732-4254,2083-8298,GEOGRAPHY,ESCI,320,0.7,Q3,0.35,94.26%,
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use ,,,,,,,,,,,,
CANADIAN GEOGRAPHIES-GEOGRAPHIES CANADIENNES,CAN GEOGR-GEOGR CAN,WILEY,0008-3658,1541-0064,GEOGRAPHY,SSCI,"1,432",1.4,Q2,0.54,27.41%,
CARTOGRAPHIC JOURNAL,CARTOGR J,TAYLOR & FRANCIS LTD,0008-7041,1743-2774,GEOGRAPHY,SSCI,732,1,Q3,0.4,19.67%,
COMPUTERS ENVIRONMENT AND URBAN SYSTEMS,COMPUT ENVIRON URBAN,ELSEVIER SCI LTD,0198-9715,1873-7587,GEOGRAPHY,SSCI,"6,641",7.1,Q1,1.49,38.82%,
CULTURAL GEOGRAPHIES,CULT GEOGR,SAGE PUBLICATIONS LTD,1474-4740,1477-0881,GEOGRAPHY,SSCI,"1,609",1.6,Q2,0.45,46.09%,
Cadernos de Geografia,CAD GEOGR-COIMBRA,"UNIV COIMBRA, FAC LETRAS",0871-1623,2183-4016,GEOGRAPHY,ESCI,44,0.3,Q4,0.04,100%,
Cambridge Journal of Regions Economy and Society,CAMB J REG ECON SOC,OXFORD UNIV PRESS,1752-1378,1752-1386,GEOGRAPHY,SSCI,"2,583",5.6,Q1,1.45,44.04%,
Cartographica,CARTOGRAPHICA,UNIV TORONTO PRESS INC,0317-7173,1911-9925,GEOGRAPHY,ESCI,613,0.7,Q3,0.29,0%,
Cartography and Geographic Information Science,CARTOGR GEOGR INF SC,TAYLOR & FRANCIS INC,1523-0406,1545-0465,GEOGRAPHY,SSCI,"1,328",2.6,Q1,0.87,21.31%,
Childrens Geographies,CHILD GEOGR,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1473-3285,1473-3277,GEOGRAPHY,SSCI,"1,895",1.9,Q2,0.69,39.9%,
Competition & Change,COMPET CHANG,SAGE PUBLICATIONS LTD,1024-5294,1477-2221,GEOGRAPHY,SSCI,"1,032",3,Q1,0.93,49.51%,
Confins-Revue Franco-Bresilienne de Geographie-Revista Franco-Brasileira de Geografia,CONFINS,REVUES ORG,1958-9212,1958-9212,GEOGRAPHY,ESCI,169,0.1,Q4,0.01,67.46%,
Copyright (c) 2024 Clarivate ,,,,,,,,,,,,
Cuadernos Geograficos,CUAD GEOGR,UNIV GRANADA,0210-5462,2340-0129,GEOGRAPHY,ESCI,386,1.1,Q3,0.22,93.58%,
CyberGeo-European Journal of Geography,CYBERGEO,CYBERGEO,1278-3366,1278-3366,GEOGRAPHY,ESCI,325,0.3,Q4,0.07,83.33%,
Developpement Durable & Territoires,DEV DURABLE TERRIT,RESEAU DEVELOPPEMENT DURABLE & TERRITOIRES FRAGILES,1772-9971,1772-9971,GEOGRAPHY,ESCI,108,0.1,Q4,0.05,36.17%,
Dialogues in Human Geography,DIALOGUES HUM GEOGR,SAGE PUBLICATIONS LTD,2043-8206,2043-8214,GEOGRAPHY,SSCI,"1,525",8.2,Q1,2.49,48.39%,
Documenti Geografici,DOC GEOGR,"UNIV STUDI ROMA TOR VERGATA, FAC LETTERE & FILOSOFIA",2035-8792,2281-7549,GEOGRAPHY,ESCI,43,0.1,Q4,0.05,0%,
Documents d Analisi Geografica,DOC ANAL GEOGR,UNIV AUTONOMA BARCELONA,0212-1573,2014-4512,GEOGRAPHY,ESCI,328,0.7,Q3,0.24,87.32%,
ECONOMIC GEOGRAPHY,ECON GEOGR,TAYLOR & FRANCIS LTD,0013-0095,1944-8287,GEOGRAPHY,SSCI,"5,028",7.2,Q1,1.95,49.25%,
ENVIRONMENT AND PLANNING D-SOCIETY & SPACE,ENVIRON PLANN D,SAGE PUBLICATIONS LTD,0263-7758,1472-3433,GEOGRAPHY,SSCI,"5,458",2.9,Q1,0.98,45.45%,
ERDE,ERDE,GESELLSCHAFT ERDKUNDE BERLIN,0013-9998,0013-9998,GEOGRAPHY,SSCI,317,1.2,Q3,0.46,0%,
EURASIAN GEOGRAPHY AND ECONOMICS,EURASIAN GEOGR ECON,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1538-7216,1938-2863,GEOGRAPHY,SSCI,"1,379",1.7,Q2,2.29,24.77%,
EUROPEAN PLANNING STUDIES,EUR PLAN STUD,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",0965-4313,1469-5944,GEOGRAPHY,SSCI,"5,752",2.6,Q1,0.74,34.55%,
Emotion Space and Society,EMOT SPACE SOC,ELSEVIER SCI LTD,1755-4586,1878-0040,GEOGRAPHY,SSCI,"1,458",1.9,Q2,0.83,19.17%,
Entorno Geografico,ENTORNO GEOGR,UNIV VALLE,1692-0074,2382-3518,GEOGRAPHY,ESCI,15,0.1,Q4,0.02,100%,
Environment and Planning A-Economy and Space,ENVIRON PLANN A,SAGE PUBLICATIONS INC,0308-518X,1472-3409,GEOGRAPHY,SSCI,"11,306",4.6,Q1,1.25,45.71%,
Environment and Planning B-Urban Analytics and City Science,ENVIRON PLAN B-URBAN,SAGE PUBLICATIONS LTD,2399-8083,2399-8091,GEOGRAPHY,SSCI,"5,725",2.6,Q1,0.78,22.58%,
Environment and Planning C-Politics and Space,ENVIRON PLAN C-POLIT,SAGE PUBLICATIONS LTD,2399-6544,2399-6552,GEOGRAPHY,SSCI,"3,288",2.4,Q2,0.7,37.5%,
Environment and Planning E-Nature and Space,ENVIRON PLAN E-NAT,SAGE PUBLICATIONS INC,2514-8486,2514-8494,GEOGRAPHY,SSCI,"1,540",3,Q1,1.02,33.42%,
Erdkunde,ERDKUNDE,"UNIV BONN, GEOGRAPHISCHES INST",0014-0015,0014-0015,GEOGRAPHY,SSCI,579,0.8,Q3,0.35,0%,
Eria-Revista cuatrimestral de Geografia,ERIA,UNIV OVIEDO,0211-0563,0211-0563,GEOGRAPHY,ESCI,132,0.5,Q3,0.02,0%,
Espace Politique,ESPAC POLIT,UNIV REIMS CHAMPAGNE-ARDENNES,1958-5500,1958-5500,GEOGRAPHY,ESCI,49,0.1,Q4,0.02,76.74%,
Espaces-Populations-Societes,ESPACES-POPUL-SOC,UNIV LILLE I SCI & TECH,0755-7809,2104-3752,GEOGRAPHY,ESCI,91,0.2,Q4,0.04,68.52%,
Estudios Fronterizos,ESTUD FRONT,UNIV AUTONOMA BAJA CALIFORNIA,0187-6961,2395-9134,GEOGRAPHY,ESCI,166,1,Q3,0.17,100%,
Estudios Geograficos,ESTUD GEOGR,CONSEJO SUPERIOR INVESTIGACIONES CIENTIFICAS-CSIC,0014-1496,1988-8546,GEOGRAPHY,ESCI,303,0.7,Q3,0.13,96.39%,
Estudios Socioterritoriales,ESTUD SOCIOTERRITORI,"UNIV NACL CENTRO PROVINCIA BUENOS AIRES, CENTRO INVESTIGACIONES GEOGRAFICA",1515-6206,1853-4392,GEOGRAPHY,ESCI,26,0.1,Q4,0.02,45.74%,
European Countryside,EUR COUNTRYS,SCIENDO,1803-8417,1803-8417,GEOGRAPHY,ESCI,461,1.2,Q3,0.51,95.69%,
European Spatial Research and Policy,EUR SPAT RES POLICY,LODZ UNIV PRESS,1231-1952,1896-1525,GEOGRAPHY,ESCI,163,0.4,Q4,0.18,80.82%,
Fennia-International Journal of Geography,FENNIA,GEOGRAPHICAL SOC FINLAND,0015-0010,1798-5617,GEOGRAPHY,ESCI,363,1.3,Q2,0.62,96.61%,
Finisterra-Revista Portuguesa de Geografia,FINISTERRA,"UNIV LISBOA, CENTRO ESTUDOS GEOGRAFICOS",0430-5027,2182-2905,GEOGRAPHY,ESCI,241,0.5,Q3,0.14,0%,
Folia Geographica,FOLIA GEOGR-SLOVAKIA,UNIV PRESOV,1336-6157,2454-1001,GEOGRAPHY,ESCI,152,2.6,Q1,0.83,0%,
GEOFORUM,GEOFORUM,PERGAMON-ELSEVIER SCIENCE LTD,0016-7185,1872-9398,GEOGRAPHY,SSCI,"11,406",3.4,Q1,1.34,38.27%,
