NATURE REVIEWS DRUG DISCOVERY,NAT REV DRUG DISCOV,NATURE PORTFOLIO,1474-1776,1474-1784,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,SCIE,"48,152",122.7,Q1,13.41,9.91%,Unnamed: 12
3 Biotech,3 BIOTECH,SPRINGER HEIDELBERG,2190-572X,2190-5738,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,SCIE,"10,750",2.6,Q3,0.58,5.61%,
AMB Express,AMB EXPRESS,SPRINGER,2191-0855,2191-0855,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,SCIE,"5,826",3.5,Q2,0.82,99.79%,
AMERICAN JOURNAL OF ENOLOGY AND VITICULTURE,AM J ENOL VITICULT,AMER SOC ENOLOGY VITICULTURE,0002-9254,1943-7749,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,SCIE,"5,501",2.2,Q3,0.57,53.06%,
ANIMAL BIOTECHNOLOGY,ANIM BIOTECHNOL,TAYLOR & FRANCIS INC,1049-5398,1532-2378,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,SCIE,"2,063",1.7,Q4,0.63,8.08%,
ANNALS OF MICROBIOLOGY,ANN MICROBIOL,BMC,1590-4261,1869-2044,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,SCIE,"4,221",3,Q2,0.65,100%,
APPLIED AND ENVIRONMENTAL MICROBIOLOGY,APPL ENVIRON MICROB,AMER SOC MICROBIOLOGY,0099-2240,1098-5336,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,SCIE,"92,314",3.9,Q2,0.95,24.98%,
APPLIED BIOCHEMISTRY AND BIOTECHNOLOGY,APPL BIOCHEM BIOTECH,SPRINGER,0273-2289,1559-0291,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,SCIE,"14,612",3.1,Q2,0.67,4.16%,
APPLIED BIOCHEMISTRY AND MICROBIOLOGY,APPL BIOCHEM MICRO+,PLEIADES PUBLISHING INC,0003-6838,1608-3024,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,SCIE,"1,978",1,Q4,0.2,4.96%,
APPLIED MICROBIOLOGY AND BIOTECHNOLOGY,APPL MICROBIOL BIOT,SPRINGER,0175-7598,1432-0614,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,SCIE,"51,516",3.9,Q2,0.81,17.83%,
Algal Research-Biomass Biofuels and Bioproducts,ALGAL RES,ELSEVIER,2211-9264,2211-9264,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,SCIE,"13,824",4.6,Q1,1.1,21.97%,
Algorithms for Molecular Biology,ALGORITHM MOL BIOL,BMC,,1748-7188,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,SCIE,777,1.5,Q4,0.34,100%,
Annual Review of Animal Biosciences,ANNU REV ANIM BIOSCI,ANNUAL REVIEWS,2165-8102,2165-8110,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,SCIE,"1,987",8.7,Q1,4.63,32.76%,
Applied Biological Research,APPL BIOL RES,CENTRE ADVANCEMENT APPLIED SCIENCES,0972-0979,0974-4517,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,ESCI,116,0.3,Q4,0.06,0%,
Artificial Cells Nanomedicine and Biotechnology,ARTIF CELL NANOMED B,TAYLOR & FRANCIS LTD,2169-1401,2169-141X,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,SCIE,"8,659",4.5,Q1,1.03,98.61%,
Asian Biotechnology and Development Review,ASIAN BIOTECHN DEV R,RESEARCH & INFORMATION SYSTEM NON-ALIGNED & OTHER DEVELOPING COUNTRIES,0972-7566,0972-7566,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,ESCI,22,<0.1,Q4,0.02,0%,
BIOCATALYSIS AND BIOTRANSFORMATION,BIOCATAL BIOTRANSFOR,TAYLOR & FRANCIS LTD,1024-2422,1029-2446,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,SCIE,"1,188",1.4,Q4,0.34,1.44%,
BIOCONTROL SCIENCE,BIOCONTROL SCI,"SOC ANTIBACTERIAL & ANTIFUNGAL AGENTS, JAPAN",1342-4815,1884-0205,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,SCIE,614,0.9,Q4,0.26,100%,
BIOCONTROL SCIENCE AND TECHNOLOGY,BIOCONTROL SCI TECHN,TAYLOR & FRANCIS LTD,0958-3157,1360-0478,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,SCIE,"3,332",1.5,Q4,0.5,7.29%,
BIODEGRADATION,BIODEGRADATION,SPRINGER,0923-9820,1572-9729,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,SCIE,"2,894",3.1,Q2,0.71,15.83%,
BIOFOULING,BIOFOULING,TAYLOR & FRANCIS LTD,0892-7014,1029-2454,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,SCIE,"5,312",2.6,Q3,0.72,5.48%,
BIOINFORMATICS,BIOINFORMATICS,OXFORD UNIV PRESS,1367-4803,1367-4811,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,SCIE,"166,068",4.4,Q1,1.53,58.31%,
BIOLOGICAL CONTROL,BIOL CONTROL,ACADEMIC PRESS INC ELSEVIER SCIENCE,1049-9644,1090-2112,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,SCIE,"11,489",3.7,Q2,1.34,27.03%,
BIOLOGICALS,BIOLOGICALS,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,1045-1056,1095-8320,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,SCIE,"1,680",1.5,Q4,0.41,42.52%,
BIOMARKERS,BIOMARKERS,TAYLOR & FRANCIS LTD,1354-750X,1366-5804,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,SCIE,"2,485",2,Q3,0.53,8%,
BIOMASS & BIOENERGY,BIOMASS BIOENERG,PERGAMON-ELSEVIER SCIENCE LTD,0961-9534,1873-2909,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,SCIE,"21,023",5.8,Q1,1.02,23.05%,
BIOPHARM INTERNATIONAL,BIOPHARM INT,ADVANSTAR COMMUNICATIONS INC,1542-166X,1939-1862,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,SCIE,216,0.1,Q4,0.03,0%,
BIOPROCESS AND BIOSYSTEMS ENGINEERING,BIOPROC BIOSYST ENG,SPRINGER,1615-7591,1615-7605,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,SCIE,"6,427",3.5,Q2,0.68,8.15%,
BIORESOURCE TECHNOLOGY,BIORESOURCE TECHNOL,ELSEVIER SCI LTD,0960-8524,1873-2976,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,SCIE,"167,707",9.7,Q1,1.76,9.18%,
BIOSCIENCE BIOTECHNOLOGY AND BIOCHEMISTRY,BIOSCI BIOTECH BIOCH,OXFORD UNIV PRESS,0916-8451,1347-6947,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,SCIE,"13,250",1.4,Q4,0.3,10.14%,
BIOSENSORS & BIOELECTRONICS,BIOSENS BIOELECTRON,ELSEVIER ADVANCED TECHNOLOGY,0956-5663,1873-4235,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,SCIE,"74,792",10.7,Q1,2.37,13.95%,
BIOTECHNIC & HISTOCHEMISTRY,BIOTECH HISTOCHEM,TAYLOR & FRANCIS LTD,1052-0295,1473-7760,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,SCIE,"1,770",1.6,Q4,0.28,2.68%,
BIOTECHNOLOGY & BIOTECHNOLOGICAL EQUIPMENT,BIOTECHNOL BIOTEC EQ,TAYLOR & FRANCIS LTD,1310-2818,1314-3530,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,SCIE,"3,272",1.5,Q4,0.33,97.72%,
BIOTECHNOLOGY ADVANCES,BIOTECHNOL ADV,PERGAMON-ELSEVIER SCIENCE LTD,0734-9750,1873-1899,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,SCIE,"24,510",12.1,Q1,1.6,28.07%,
BIOTECHNOLOGY AND APPLIED BIOCHEMISTRY,BIOTECHNOL APPL BIOC,WILEY,0885-4513,1470-8744,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,SCIE,"3,859",3.2,Q2,0.54,3.2%,
BIOTECHNOLOGY AND BIOENGINEERING,BIOTECHNOL BIOENG,WILEY,0006-3592,1097-0290,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,SCIE,"21,938",3.5,Q2,0.79,31.31%,
BIOTECHNOLOGY AND BIOPROCESS ENGINEERING,BIOTECHNOL BIOPROC E,KOREAN SOC BIOTECHNOLOGY & BIOENGINEERING,1226-8372,1976-3816,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,SCIE,"3,022",2.5,Q3,0.58,0%,
BIOTECHNOLOGY LAW REPORT,BIOTECHNOL LAW REP,"MARY ANN LIEBERT, INC",0730-031X,1557-8704,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,SCIE,68,0.2,Q4,0.05,0%,
BIOTECHNOLOGY LETTERS,BIOTECHNOL LETT,SPRINGER,0141-5492,1573-6776,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,SCIE,"9,506",2,Q3,0.52,9.66%,
