Analytic Methods in Accident Research,ANAL METHODS ACCID R,ELSEVIER,2213-6657,2213-6665,TRANSPORTATION,SSCI,"2,509",12.5,Q1,3.33,12.77%,Unnamed: 12
ACCIDENT ANALYSIS AND PREVENTION,ACCIDENT ANAL PREV,PERGAMON-ELSEVIER SCIENCE LTD,0001-4575,1879-2057,TRANSPORTATION,SSCI,"26,898",5.7,Q1,1.98,16.01%,
Asian Journal of Shipping and Logistics,ASIAN J SHIPPING LOG,ELSEVIER,2092-5212,2352-4871,TRANSPORTATION,ESCI,786,3.3,Q2,0.79,92.5%,
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use ,,,,,,,,,,,,
Case Studies on Transport Policy,CASE STUD TRANSP POL,ELSEVIER,2213-624X,2213-6258,TRANSPORTATION,ESCI,"2,205",2.4,Q3,0.63,20.07%,
Communications in Transportation Research,COMMUN TRANSP RES,ELSEVIER,2772-4247,2772-4247,TRANSPORTATION,ESCI,610,12.5,Q1,2.71,85.94%,
Copyright (c) 2024 Clarivate ,,,,,,,,,,,,
Economics of Transportation,ECON TRANSP,ELSEVIER,2212-0122,2212-0130,TRANSPORTATION,SSCI,438,2.2,Q3,0.62,24.44%,
European Journal of Transport and Infrastructure Research,EUR J TRANSP INFRAST,EDITORIAL BOARD EJTIR,1567-7133,1567-7141,TRANSPORTATION,SSCI,677,2.1,Q3,0.42,85.71%,
European Transport Research Review,EUR TRANSP RES REV,SPRINGER,1867-0717,1866-8887,TRANSPORTATION,SSCI,"1,939",5.1,Q1,0.97,100%,
European Transport-Trasporti Europei,EUR TRANSP,"UNIV STUDI TRIESTE, IST STUDIO TRASPORTI INTEGRAZIONE ECON EUROPEA-ISTIEE",1825-3997,1825-3997,TRANSPORTATION,ESCI,288,0.7,Q4,0.16,0%,
Frontiers in Future Transportation,FRONT FUTURE TRANSP,FRONTIERS MEDIA SA,,2673-5210,TRANSPORTATION,ESCI,98,1.3,Q4,0.27,100%,
IATSS Research,IATSS RES,ELSEVIER SCI LTD,0386-1112,2210-4240,TRANSPORTATION,ESCI,"1,458",3.2,Q3,0.8,97.06%,
